Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Abankwa, Solomon Frimpong","M.B., Ch.B (KNUST-SMS)",Namong SDA Hospital,"P. O. Box KS 7503, Kumasi."
"Abantanga, Francis Atindaana","M.D. (Kharkov State Med. Inst., Ukraine),Sp. Cert. Paediatric Surgery (Inst. of Med., Moscow)",Univ. for Dev’t Studies,
"Abass, Abdullah","M.B., Ch.B (U.D.S-S.M.H.S),",Tetteh Quarshie Memorial Hospital,
"Abass, Sadat Sonbaweara","M. B., Ch.B. (UDS-SMHS)",Janga Hospital,"P. O. Box 20, Walewale N/R"
"Abayateye, Vishnu Nene Limon","M.B., Ch.B (U.G.M.S)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra."
"Abbah-Foli, Edward","M.D (Univ. of Wurzeburg, Germany),Sp. in Surgery (Univ. of Duesseldorf, Germany)",Holy Cross Clinic,"P. O. Box 799, Accra"
"Abban, Herbert","M.D. (Stomatology) (Odessa State Med. Inst., Russia)",37 Military Hospital,
"Abban, Isaac Kobina","M.D. (Ross Univ., Med. Sch., New York),Master of Trop. Paediatrics(Univ. of Liverpool)",PML Hospital,"P. O. Box 122, Accra"
"Abbey, Enoch Joseph","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Abbiw-Jackson, Florence","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACS)",Dept. of Surgery,"P. O. Box KB 560, Korle-Bu, Accra"
"Abdul Rauf, Sulemana","M. B., Ch.B. (UDS-SMHS)",Salaga Govt. Hospital,
"Abdul-Mumin, Alhassan","M.D. (Gazi Univ.),Paediactrician Specialist (Hacettepe Univ.)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Abdul-Mumuni, Shuaib A-R","M.B., Ch.B (U.G.M.S)","KATH, Dept. of Obs/Gyn","P. O. Box KS 1934, Kumasi"
"Abdul-Rahman, Aref Bargery","M.D.. (Zaporozhyde State Med. Inst.),S.P. In Trauma and Orthopaedic (Bav. Med. Council)",St. Joseph’s Othopaedic Hospital,
"Abdul-Rahman, Faiza","M.B., Ch.B. ( UDS-SMHS)",Komfo Anokye Teaching Hospital,
"Abdul-Razak, Mohammed",B.D.S (U.G.D.S),Kwesimintsim Hospital,"P. O. Box 0603, Takoradi"
"Abdulai, Abubakari Bawah","M.B., Ch.B (U.G.M.S)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Abdulai, Al-hassan Emil","B.D.S. (UGDS),F.W.A.C.S. (WACS)",School of Medicne & Dentistry,
"Abdulai, Ayuba Seidu","M.D. (Gazi Univ. Medical School),M.G.C.S. (G.C.P.S.)",Yendi Municipal Hospital,
"Abdulai, Faridatu Njelba","M.B., Ch.B (U.G.M.S),M.P.H (Vrije Univ, Amsterdam)",Ridge Hospital,"P. O. Box 473, Accra"
"Abdulai, Osman","M.B., Ch.B. (KNUST-SMS)",Bimbilla Hospital,
"Abdulai, Rabiatu Eunice","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of ENT,"P. O. Box 77, Korle-Bu, Accra"
"Abdulai, Samira","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Abdullah, Mohammed Hadi","M.B., Ch.B (U.G.M.S)",Dept. OfNeurosurgery,"P. O. Box 77, Korle Bu"
"Abebrese, Frank",M.D. (Vitebsk State Med. Univ.),Graceland Clinic,"P. O. Box SE 736, Suame"
"Abebrese, Frank Amankonah","M.B., Ch.B (U.G.M.S),Sp. Cert. In Ultrasound Diagnostics (Vitebsk Med. Inst.),Sp. Cert. In Surgery (Vitebsk Med. Inst.),MSc. H.S.P.M (KNUST),F.G.C.P.S (GCPS)",Graceland Clinic,"P. O. Box SE 736, Suame"
"Abebrese, Franklina Korkor",M.D. – Vitebsk State Medical Univ.,Dept. of Anaesthesia,"P. O. Box KS 1934, Kumasi"
"Abebrese, Jacob K. Amponsah","M.D. (Minsk State Med. Inst, Russia Fed.),Dip. Otorhinolaryngology (W.A.C.S),M.P.H (UG)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Abebrese, John Tabiri","M.B., Ch.B (KNUST-SMS)",Graceland Clinic,"P. O. Box SE 736, Suame, Kumas"
"Abebrese, Sarpong",M.D (Vitebsk State Medical Univ.),Graceland Clinic,"P. O. Box SE 736, Suame, Kumasi"
"Abem, Richelieu Dannia","M.B., Ch.B (UDS-SMHS)",University of Cape Coast Hospital,
"Abesig, Jonathan Wadeyir","M.B., Ch.B (U.G.M.S)",West Gonja Hospital,"P. O. Box 18, Damongo"
"Abiemoh, Lloyd Yayra","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Abilba, Mark-Martin","M.B., Ch.B (KNUST-SMS)",Kamina Barracks Med. Center,
"Abilla, Jarvis","M.D (Higher Inst. of Med. Sciences, Havana)",Ashaiman Polyclinic ,
"Abiwu, Hilarius Kosi Asiwome","M.B., Ch.B (U.G.M.S)",Krachi West District Hospital,"P. O. Box 29, Kete-Krachi."
"Ablorh-Odjidja, Mercy Oboshie","M.B., Ch.B (UGMS),F.W.A.C.P (WACP),F.G.C.P.S (GCPS)",Joana Clinic,"P. O. Box 15767, Accra."
"Ablorh, Kofi","M.D. (Higher Inst. Of Med. Sc., Cuba)",Nsawam Gov’t Hospital,"P. O. Box 100, Nsawam"
"Ablorh, Mensah Seth","M.D (Oral Roberts Univ., Sch. of Med.)",Manna Mission Hospital,"P. O. Box 1032, Teshie, Accra"
"Aboagye-Addo, Solomon",B.D.S (U.G.D.S),Kwesimintim Hospital,"P. O. Box 0603, Takoradi"
"Aboagye-Kumi, Yaw","M. B., Ch.B (KNUST-SMS)",Carolina Kidney Care,
"Aboagye-Marfo, Isaac","M.B., Ch.B ((KNUST-SMS)",Gary Marvin Mem. Hosp,"P. O. Box KS 11980, Kumasi"
"Aboagye, Blankson","M.B., Ch.B (U.G.M.S)","Dept. of Pathology, Korle-Bu","P. O. Box 77, Korle-Bu Accra"
"Aboagye, Eugene Agyei","M.B., Ch.B (KNUST-SMS)","Dept. of Pathology, Korle-Bu","P. O. Box 77, Korle-Bu, Accra."
"Aboagye, Richard Asokwa","M.B., Ch.B (KNUST-SMS)",Manhyia District Hospital.,
"Aboagye, Rosemond Naa Dedei","M.B., Ch.B (U.G.M.S)","Dept. of Radiology, Korle-Bu","P. O. Box 77, Korle-Bu, Accra"
"Aboagye, Sampson","M.D. (Univ. of Aristotle, Greece),Cert. in Pneumonology-Tuberculosis (Univ. of Athens)",Opmann Clinic,"P. O. Box AM 282, Amasaman- Accra"
"Aboah Taylor, Akua Aboabea","M.B., Ch.B (U.G.-S.M.D)",Korle Bu Teaching Hospital,
"Aboah, Kenneth Kwaku E.","M. B., Ch.B (KNUST-SMS),Dip. In Urology (Univ. of Vienna, Austria),Fellow in Urology (Univ. of Vienna Med. Society),F.G.C.P.S (GCPS),F.W.A.C.S (WACS)",University Post Office,
"Abobi-Kanbigs, Diana A.","M.B., Ch.B. ( UDS-SMHS)",St. Andrew Catholic Hosp,"P. O. Box 261, Ashaiman"
"Aboe, Agatha","M.B., Ch.B (U.G.M.S),Dip. In Opthalmology (W.A.C.S)",Sight Savers,
"Aborah, Samuel","M.B., ChB (KNUST-SMS),M.PH (Univ. of Ghana)",Upper East Regional Hospital,"P. O. Box 26, Bolgatanga."
"Abotsi, Prosper","M.B., Ch.B (U.G.M.S)",Hohoe Municipal Hospital,"P. O. Box MP 27, Hohoe"
"Abou, N’ Dauguie Armel E.","M.D (Med. Sc. & Research Centre, Abidjan, Cote,d’Ivoire)",St. Joseph’s Hospital,"P. O. Box KF 40,Koforidua"
"Aboungo, Raymond Atibila","M.B., Ch.B. (KNUST-SMS)",Kpandai district Hospital,"P. O. Box 36,Kpandai"
"Aboungo, Victoria","M.B., Ch.B. (UDS-SMHS)",Baptist Medical Center,
"Abraham-Kwabiah, Evelyn Vivian","M.D (Kharkov Medical Inst.),Dip. In Dermatology (Univ. of Lepzig, Germany)",37 Military Hospital,
"Abrahams, Sydney Niibi","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Abrefa Safo, Yaw","M.B., Ch.B. (UCC-SMS)",,"P. O. Box AY 247 Kumasi,"
"Abrobrah, Jerry James",M.D. (Lugansk State Med. Univ.),Half Assini Gov’t Hospital,"P. O. Box 96, Half Assini"
"Abrokwaa-Yankyera, Kwame","M.B., Ch.B (KNUST-SMS),F.W.A.C.S (WACS)",37 Military Hospital,
"Abrokwah, Edwin",B.D.S (KNUST-DS),37 Military Hospital Accra,
"Abruquah, Nana Akua","M.B., Ch.B (KNUST-SMS)",,"P. O. Box BT 425, Comm. 2, Tema"
"Abu-Bonsrah, David","M.B., Ch.B. ( UDS-SMHS)",,
"Abu-Sakyi, Joseph","M.D. (Volgofrad Med. Academy),M.P.H (UG)",KNUST Hospital,
"Abu, Emmanuel Frank",M.D. (Russian State Med. Univ.),UW Regional Hospital,"P. O. Box 6, Wa"
"Abu, Kwadwo Aning","M.B., Ch.B ((KNUST-SMS),M.G.C.S (GCPS)",Accident & Emergency Centre,"P. O. Box 1934, Kumasi"
"Abubakari, Braimah Baba","M.B., Ch.B. (UDS-SMHS)",Regiional Health Directorate,
"Abubakr-Adam, Zakaria","M.B., Ch.B (Cairo of Univ.)",Iran Clinic,"P. O. Box AN 19243, Accra-North"
"Abude, Fritz Ernest","M.D. (Univ. Szed, Hungary),Sp. Cert. in Surgery (Postgrad. Med. Sch., Budapest),Sp. Cert. in Trauma. (Postgrad. Med. Sch., Budapest)",Hohoe District Hospital,"P. O. Box 576, Hohoe"
"Abude, Mathias Kwesi","M.B., Ch.B (U.G.M.S)",Volta Regional Hospital,"P. O. Box 576, Hohoe"
"Abudey, Samuel Mawusi","M.D. (Vinnitsa State Med. Inst.),M.P.H (UG)",Municipal Health Directorate,
"Abugri, Victor Winbe","M.B., Ch.B (U.G.M.S),Member,,M.G.C.S (GCPS)",Ridge Regional Hospital,
Abukari Al-Hassan,"M.B., Ch.B (U.GM.S)",Military Hospital,
"Abukari, Abdulai",M.D. (Univ. of Istanbul),Tatale Polyclinic Hospital,"P. O. Box 8, Tatale, Sanguli. N/R"
"Abukari, Yakubu Natogmah","M.B., Ch.B (KNUST-SMS)",St. Anne’s Clinic,
"Abuku, Julius","M.B., Ch.B (U.G.M.S)",Abura Dunkwa District Hospital,
"Abunyewa, Charles","M.B., Ch.B (U.G.M.S)",Abunyewa Memorial Clinic,"P. O. Box 277, Sakumono, Tema."
"Aburiya, Edgar","M. B., Ch.B ((UDS-SMHS)",Apam Catholic Hosp,"P. O. Box 5, Apam-Central Region"
"Abusah, Gideon",M.D. (Kuban State Medical),Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Acheamfour-Akowuah, E.","M.B., Ch.B (KNUST-SMS)","Dept. of Medicine, KNUST","P. O. Box KS 1934, Kumasi"
"Acheampong, Alexander Oti A.","B.D.S (U.G.D.S),M.G.C.S (GCPS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Acheampong, Belinda","M.B., Ch.B (U.G.M.S)",Holy Family Hospital,
"Acheampong, Benjamin","M. B., Ch.B ((KNUST-SMS)",Dept. of Child Health,"P. O. Box 1934, Kumasi"
"Acheampong, Catherine Rita","M.B., Ch.B (KNUST-SMS)",St. Joseph’s Hospital,
"Acheampong, David","M.B., Ch.B (UG-SMD)",PATH-Ghana,"P. O. Box 15, Ejisu"
"Acheampong, Fred Boadi","M. B., Ch.B ((KNUST-SMS)",Siaw-Larbi Hospital,"P. O. Box T28, Old Tafo, Kumasi"
"Acheampong, Henry Kwesi",B.D.S. (KNUST-DS),Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Acheampong, Janice Lucy","M.B., Ch.B (U.G.M.S),Sp. in Internal Medicine (Amer. Board of Int. Medicine)",Police Hospital,
"Acheampong, Joseph Woahen","M.D. (Univ. of Bonn),Sp. In Internal Medicine (Nordrhein Chamber of Phy.)",Academy Clinic Ltd. P,"P. O. Box AH 8123, Kumasi"
"Acheampong, Kwadwo Amakye",B.D.S (U.G.D.S),37 Military Hospital,
"Acheampong, Kwasi",M.D (Donetsk Nat. Med. Univ.),Prestea,"P. O. Box 85, Prestea"
"Acheampong, Lawrence Kofi","M.B., Ch.B. (KNUST-SMS)",International SOS,
"Acheampong, Michael Kofi","M.B., Ch.B (KNUST-SMS)",Bryants Mission Hospital,
"Acheampong, Nana Kofi","B.D.S.(U.G.D.S.),L.D.S.R.C.S.(England)",Charisma Dental Clinic,"P. O. Box CT 2620 Accra,"
"Acheampong, Peter Kwasi","M.B., Ch.B (KNUST-SMS)",Academy Clinic,"P. O. Box AH 8123, Kumasi"
"Acheampong, Robert Kusi","M.B., Ch.B (KNUST-SMS)",SDA Hospital,"P. O. Box UP 1235, Asamang"
"Acheampong, Samuel Boakye","M.B., Ch.B. (UG-SMD)",Dept. Of Pathology,
"Achiaa-Darko, Vera","M. B., Ch.B. (UDS-SMHS)",Methodist Hospital Wenchi,
"Ackah Famieh, Sylvester","M.B., Ch.B (UCC-SMS)",St. Martin De Porres Hospital,"P. O. Box 06, Eikwa"
"Ackah, Anna Kwatemaa",M.D. – Donetsk National Med. Univ.,Korle Bu Teaching Hospital,"P. O. Box 1934, Kumasi"
"Ackah, Hannah Nana-Nwiamah","B.D.S (U.G.D.S),",North Suntreso Gov’t Hospital,"P. O. Box 14775, Suntreso"
"Ackah, Peter Forson",M.D. (Donetsk National Med. Univ.),Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Ackom, Eric","M.B., Ch.B (UCC-SMS)",Presby Hospital,
"Ackon, Allswell Awo","M.B., Ch.B (KNUST-SMS)",Dept. of Radiology,"P. O. Box 1934, Kumasi"
"Ackuayi, Joshua Mawunyo","M.B., Ch.B (KNUST-SMS)","Dept. of Obst/Gynae, Korle Bu","P. O. Box 77, Korle-Bu, Accra."
"Ackun, Henry Mensah","M.B., Ch.B (U.G.M.S)",C and J Medicare Hospital,
"Acolatse, Eric Kojo","M.D. (Donnetsk State Med. Inst.),M.P.H (UG)",District Health Directorate,"P. O. Box 5, Jema"
"Acorlor, Daniel",M.D. ( Lugansk State Medical Univ.),Nkwanta South District Hospital,"P. O. Box 54, Nkwanta."
"Acorlor, Vincent Kwadzo Mensah","M.D. (HIMS, Cuba)",Post Graduate College,
"Acquaah-Harrison, Emmanuel",M.D (Vinnitsa State Med. Inst.),Eastern Regional Hospital,"P. O. Box 201, Koforidua"
"Acquaah, Robert Kelly",M.D. (Volgograd State Med. Inst.),Saint Healier Clinic,"P. O. Box MC 332, Takoradi"
"Acquah-Hagan, Gertrude","M.B., Ch.B. (KNUST-SMS),M.G.C.S (GCPS)",Suntreso Gov’t Hosp,
"Acquah, Akua Serwaa","M.B., Ch.B (UGMS)",Dept of Ophthalmology,
"Acquah, Bernard","M.D. (People’s Friendship Univ., USSR)",Twin City Clinic,"P. O. Box 98, Takoradi"
"Acquah, Ebenezer","M.D.. (Tashkent State Med. Inst.),D.G.O. (Univ.of Dublin)",Takwa Municipal Hospital,"P. O. Box 10, Tarkwa"
"Acquah, Emmanuel","M.B., Ch.B. (KNUST-SMS)",Holy Family Hospital,
"Acquah, George Henry","M.B., Ch.B ((UG-SMD)",Accident Centre,"P. O. Box 77, Korle-Bu, Accra"
"Acquah, Maame Araba Kuma",M.B.B.S (Jiamusi Medical College),Pentecost Hospital,"P. O. Box GP 20790, Madina Estate, Accra"
"Acquah, Michael Ebo","M.B., Ch.B (U.G.M.S),M.G.C.P. (GCPS)",Dept. Of Haematology,"P. O. Box KB 909, Korle-Bu, Accra"
"Acquah, Samuel Kofi","B.D.S (U.G.D.S),MSc. Addictive Behaviour (Univ. of London),MSc. Dental Pub. Health (Univ. of London)",Winneba Municipal Hospital,"P. O. Box 4, Winneba"
"Acquaye, Amy","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Acuaye, George","M. B., Ch.B (KNUST-SMS),MSc. Health Serv. Plann. & Mgt. (KNUST)",Legacy Hospital,"P. O. Box ST 139, Kumsi"
"Adabayeri, Victoria May M.","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP),F.W.A.C.P (WACP)","Dept. of Child Health, Korle Bu","P. O. Box 77, Korle-Bu, Accra"
"Adabere, Kenneth Adabre K.","M.B., Ch.B (KNUST-SMS)",Arms Clinic,"P. O. Box 249, Techiman"
"Adade, Nelly Ackay",M.B. Ch.B (U.C.C.-S.M.S),,
"Adade, Titus","M.B., Ch.B (KNUST-SMS)",St. Patrick’s Hospital,
"Adae-Aboagye, Kwadwo","M.B., Ch.B (KNUST-SMS)",KATH,"P. O. Box,12318, Adum Kumasi"
"Adae-Boaten, Agyenim","M.D. (Univ. of Leipzig, Munster),Sp. Cert. in Surgery (Univ. Westfalen-Lippe, Munster)",,"P. O. Box 9322, Cantonments-Accra"
"Adakudugu, Ida Mbamah","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Adam-Zakariah, Leslie Issa","M.B., Ch.B (UGMS)","Dept. of Surgery, Korle Bu",
"Adam, Atiku","M.B., Ch.B. ( UDS-SMHS)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra."
"Adam, Baba Mohammed M.","M.D (Moscow State Firogov Med. Inst.),Sp. in Orthop (Med. Council Westphalialippe, Germany)",,
"Adam, Diane Al-Hassan","M.B., Ch.B (KNUST-SMS),Membership-Radiology (G.C.P.S.)",Christian Health/Manna Mission Hospital,
"Adam, Yakubu Seidu","M.D. (Min. of Health, Turkey),Ophthalmology Specialist (Min. of Health, Turkey)",Inter Star Eye Clinic and Laser Center,
"Adamah, Alfred A. Ayitey",M.D. (Kharkov State Med. Inst.),Nuffield Orthopaedic Clinic,"P. O. Box 10646, Accra-North"
"Adams, Abass","M.D. (Minsk State Med. Inst.),SP. In NeuroSurgery (Univ. Clinic of Freiburg)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Adams, Humu","M.B., Ch.B. (U.G.M.S.)",Ajumako District Hospital,
"Adams, Michael Salisu","M.B., Ch.B (KNUST-SMS)",Opoku Agyeman Hospital,"P. O. Box 362, Techiman"
"Adamu, Sheila","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (W.A.C.P.)","Dept. of Medicine, KNUST","P. O. Box KS 1934, Kumasi"
"Adanu, Kekeli Kodjo","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Adanusa, Madison","M.B., Ch.B (U.G.M.S)",University of Cape Coast Hospital,
"Adarkwa, Anthony",B.D.S. (U.G.D.S.),St. Luke Catholic Hospital,"P. O. Box 5, Apam, Central Region."
"Adarkwa, Opei Kwafo","M.B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Manhyia District Hospital,
"Adase, Joseph Kweku Kafui","M. B., Ch.B (KNUST-SMS),F.A. (Bayerische Lands Arzetkammer, Munich Germ.)",,"P. O. Box 117, Sakumono"
"Adda, Alexander Balinia",M. D (O. O. Bogomolets Nat. Med. Univ.),Ridge Hospital,
"Addae Jnr, John Boakye","M.B., Ch.B (KNUST-SMS)","Dept. of Surgery, KNUST","P. O. Box KS 1934, Kumasi"
"Addae-Konadu, Priscilla","M.B., Ch.B (KNUST-SMS)",New Abirem Gov’t Hospital,"P. O. Box 66, New Abirem"
"Addae, Christian","M.B., Ch.B (KNUST-SMS)","Dept. of Medicine, Korle Bu","P. O. Box 77, Korle-Bu Accra"
"Addae, Emma Anima","M.B., Ch.B (UGMS)",Dept. of Anaethesia,"P. O. Box 77, Korle-Bu, Accra"
"Addae, Reginald Offei","M.B.B.S (Univ. of London),M.R.C.S (Univ. of London) L.R.C.P (UK),D.T.M&H (UK),M.R.C.P (Edinburg)",Castle Drive Clinic,
"Addae, Richard","M.B., Ch.B (KNUST-SMS)",Dept. of Pathology,"P. O. Box KS 1934, Kumasi"
"Addah, Christopher Devara","M.B., Ch.B (UDS-SMHS)",37 Military Hospital,
"Addah, Ernestina","M.B., Ch.B. (KNUST-SMS)",Upper East Regional Hospital,
"Addai Amoako, Felicia","M.D (Univ. of Medicine and Pharmacy),Dermatovenerreologist (Univ. of Medicine & Pharmacy)",Tafo Gov’t Hospital,"P. O. Box 1908, Kumasi"
"Addai-Boateng, Mercy",M.D (Belgorod State Univ.),St. Michael’s Hospital,"P. O. Box 10, Jachie-Pramso"
"Addai-Darko, Kwadwo","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani."
"Addai-Frimpong, Patrick","M.B., Ch.B (U.G.M.S)",,"P. O. Box 147, Bechem."
"Addai-Naami, Joshua Yaw","M.B., Ch.B. (KNUST-SMS)",Agogo Presby Hospital,
"Addai, Albert","M.B., Ch.B ((KNUST-SMS)",JILF Health Services,"P. O. Box AY 265, Asuoyeboah, Kumasi"
"Addai, Francis","M.B., Ch.B (KNUST-SMS),M.G.C.P (G.C.P.S.)",Korle Bu Polyclinic,
"Addai, Lilian","M.B., Ch.B (U.G.M.S),M.G.C.P (G.C.P.S.)",Eastern Regional Hospital,"P. O. Box 201, Koforidua"
"Adde, Bertine Kwofie",B.D.S. (U.G.D.S.),,"P. O. Box CT 5348, Mamprobi - Accra"
"Addison, Edward Odartei","Arztliche prefund (Univ. of Kiel, Germany),M.D. (Univ. of Kiel, Germany),Facharzt Fur Chirurgie (Artekammer, Germany),F.W.A.C.S (WACS)",,"P. O. Box CT 1773, Cantonments, Accra"
"Addison, Mike","M.B., Ch.B (KNUST-SMS),M.G.C.P.S. (G.C.P.S.)",Aninwaa Medical Centre,"P. O. Box 11755, Adum, Kumasi."
"Addison, Naa Okaikor","M.B., Ch.B (U.G.M.S)",,"P. O. Box 257, Korle-Bu, Accra"
"Addison, William","M.B., Ch.B (KNUST-SMS),Dip. In Anaesthesia (WACS),F.W.A.C.S (WACS)",Dept. of Anaesthesia,
"Addo Antwi, Agnes Asantewaa","M.B., Ch.B (KNUST-SMS),",SK DTD 2036,
"Addo Dankwa, Edward",M.D. (Russian National Research Medical University),Upper West Regional Hospital,"P. O. Box 6, Wa"
"Addo-Agyekum, Afua Dufie","M.B., Ch.B (KNUST-SMS)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Addo-Atuah, Afua Amoah","M.B., Ch.B. (UG-SMD)",,"P. O. Box 473, Accra"
"Addo-Quaye, Edwin","M.B., Ch. B. (U.G.M.S)",Suhum Gov’t Hospital,"P. O. Box 149, Suhum"
"Addo-Sarkodie, Enoch","M.B., Ch.B. (KNUST-SMS)",St. Elizabeth’s Hospital,"P. O. Box 4, Hwidiem"
"Addo-Sekyere, Isaac","M. B., Ch.B ((KNUST-SMS)",Dept. of Obst & Gynae,"P. O. Box 77, Korle-Bu, Accra"
"Addo-Yobo, Charles Oteng","M.B., ChB (U.G.M.S)",Caiquo Hospital,"P. O. Box 1577, Tema"
"Addo-Yobo, Clarence Oteng","M.B., Ch.B (Univ. of Cairo),F.A.B.O.G. (A.B.O.G)",1 Tesa Street,
"Addo-Yobo, Constance","B.D.S. (U.G.D.S),Dip. Dental Public Health (R.C.S),Masters in Comm. Dentistry (Univ. of Leeds)",,"P. O. Box 11634, Tema"
"Addo-Yobo, Dorothy","M.B., Ch.B (KNUST-SMS)",The Trust Hospital,
"Addo-Yobo, Emmanuel O.D.","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Addo-Yobo, Emmanuel O.D.","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Addo-Yobo, Zahra Bridget","M.B., Ch.B. (UDS-SMHS)",St. Joseph’s Hospital,
"Addo, Abednego Ofori","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,
"Addo, Bernice Takyiwah","M.B., Ch.B (KNUST-SMS)",Pantang Hospital,
"Addo, Dennis Emmanuel","M.B., ChB (KNUST-SMS),M.P.H (Hebrew Univ.),M.G.C.P. (G.C.P.S.)",37 Military Hospital,
"Addo, Dorcas Ewuradjoa Ntsiwa","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,
"Addo, Edwina Beryl V. N. D.","M.B., Ch.B (UGMS),M.W.A.C.P, Family Medicine (WACP),M.G.C.P, Family Medicine (GCPS)",Flagstaff House Medical Centre,"P. O. box GP 3643,"
"Addo, Felix Nii-Addo Akwettey",B.D.S (U.G.-S.M.D),Ada East District Hospital,
"Addo, Frimpong-Manso","M. B., Ch. B. (U.G.M.S),M.W.A.C.P (WACP)",KATH,
"Addo, Henry Ashitei",M.D. (Vinnitsa Medical Inst.),Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Addo, Johnson","M.B., Ch.B (U.G.M.S)",Raphal Medical Centre,"P. O. Box 11035,Tema"
"Addo, Johnson",M.D (Ternopil State Med. Univ.),Marie Stoppes,
"Addo, Juliet","M.B., Ch.B (U.G.M.S)",,"P. O. Box KB 464, Korle-Bu, Accra"
"Addo, Kennedy",M.D. (Charles University),Holy Trinity Medical Centre,
"Addo, Kingsley Kpakpo","M.B., Ch.B (U.G.M.S)",Mamprobi Polyclinic,"P. O. Box 1255, Accra"
"Addo, Lamech Abora","M.D (Higher Inst. of Med. Sciences, Cuba),M.P.H (UG)",Regional Health Directorate,"P. O. Box KS14817, Kumasi."
"Addo, Mark Colley","M.D. (Institute of Med. & Pharmacy, Bucharest)",MAB International Hospital,
