n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
13,"St Andrews Anglican Clinic, Dominase",Diaso-Dunkwa-On- Ofin Rd Ayanfuri Ghana,,Diaso-Dunkwa-On- Ofin Road Ayanfuri,CV-1757-9569,Near St. Andrews Anglican Church,Upper Denkyira West,Central Region Ghana,Ghana,6.0502977,-1.9585195,,244464764,,,Https://Maps.Google.Com/?Cid=6594729026673827415,Hospital,,
14,Dominase SDA Clinic,Mensakrom Road,,Mensakrom Road,CV-1741-6174,"Near Bethel Methodist Church, Abora",,Central Region Ghana,Ghana,6.0460383,-1.9645538,,206780853/0244959190/0246649354,,,Https://Maps.Google.Com/?Cid=16040023899046404677,Hospital,,
15,"SDA Hospital, Dominase",,"P.O. Box 272, Bekwai-Ashanti",,,Dominase Near Bekwai,,Ashanti Region,,,,,322195110,,,,,,
16,"Sanford World Clinic, Mankessim",No 1 Block 172 New Kusukum (By The Accra-Cape Coast Highway) Mankessim ,,Mankessim Cape Coast Road,CM-0376-8618,Directly Opposite Larbi Brothers Around Group Ndoum Regioinal Office,Mfantseman,Central Region Ghana,Ghana,5.265278,-1.020278,5,501289235/0312290956,,http://sanfordworldclinic.org/locations-ghana/,https://goo.gl/maps/ejQT4ujzSZB2,Hospital,http://sanfordworldclinic.org/wp-content/uploads/2017/01/1Mankessem-Clinic.jpg,
17,UQ Specialist Medical Services,"Incredible Cl, Takoradi, Ghana",,"Incredible Cl, Takoradi, Ghana",WS-335-7781,"Anaji Westline, Takoradi",Sekondi-Takoradi,Western Region Ghana,Ghana,4.9215479,-1.7707062,4,249328564,+233249328564,https://www.uqhospital.com/,Https://Maps.Google.Com/?Cid=3110755687902517549,Hospital,https://lh5.googleusercontent.com/p/AF1QipNUuhJM2C5oDqdva4YudjGF2pDSOuzfpq2-OuXN=w408-h229-k-no,
18,Wassa Akropong Hospital,Ayanfuri - Bogoso Rd,"P.O. Box 51, Wassa Akropong",Ayanfuri - Bogoso Rd,WX-0001-1385,Close to Dunwell Methodist Church,Wassa Amenfi East,Western Region Ghana,Ghana,5.7813861,-2.0835064,3.3,244061374,,,Https://Maps.Google.Com/?Cid=5067192006301931811,Hospital,,
19,Sanford World Clinic Kojokrom,Behind Sacred Heart Catholic School Esikado Road,,"Margin St, Sekondi-Takoradi, Ghana",WS-057-6941,Behind Sacred Heart Catholic School Esikado Road Kojokrom Market Area,Sekondi Takoradi,Western Region Ghana,Ghana,4.960262,-1.721632,,332092990,+233332092990,http://sanfordworldclinic.org/locations-ghana/,Https://Maps.Google.Com/?Cid=16598733765100248080,Hospital,http://sanfordworldclinic.org/wp-content/uploads/2017/01/1Kojokrom-Clinic.jpg,
20,Madamfo Specialist Hospital,Essipon Takoradi Ghana,,Sanderling St,WS-502-0138,"Opposite Raybow International Hotel, Around CTSL Office",Sekondi-Takoradi,Western Region Ghana,Ghana,4.9015794,-1.7830973,,244849109,,,Https://Maps.Google.Com/?Cid=9114700220319859881,Hospital,,
21,Jemima Crentsil Maternity Hospital,60 E Akufo-Addo Rd,,Akufo-Addo Rd,WS-544-2961,Kwesimintsim,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9206216,-1.7863083,4.7,279113450/0243632580,+233279113450,,Https://Maps.Google.Com/?Cid=18228541843253481003,Hospital,,
22,Saint Helier Clinic,"15 Windy Ridge Extention, Takoradi","P.O.Box MC 332, Takoradi","Iroko St, Takoradi",WS-289-9808,Tanokrom,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9092418,-1.7652412,,312024200/0208111439/0244945416,,,Https://Maps.Google.Com/?Cid=12800597768249859536,Hospital,,
23,Glado Clinic Dental Practice,"Adomako Ave, Takoradi",P.O.Box TD 941,Adomako Ave,WS-445-0952,Adomako Ave Queen Of Peace Anaji,Sekondi-Takoradi,Western Region Ghana,Ghana,4.938251,-1.778237,3.5,201414498/0502408607,+233201414498,Http://Glado-Dental-Clinic.Business.Site/,Https://Maps.Google.Com/?Cid=9399586283909767179,Hospital,,
24,Takoradi Hospital,Landing Ct,"P.O. BOX TD 7, Takoradi",Joe De Graft-Johnson Avenue,WS-350-9482,Takoradi,Sekondi-Takoradi,Western Region Ghana,Ghana,4.8855438,-1.751976,2,3122501/03122502/03122503,,,Https://Maps.Google.Com/?Cid=1447725091539485450,Hospital,,
26,Rabboni Christian Hospital,Commercial Street Opposite GT Bank Tarkwa,"P. O. Box, 416 Tarkwa","Post Office Loop, Tarkwa",WT-0005-2706,"Post Office Loop, Police Station Area",Tarkwa Nsuaem,Western Region Ghana,Ghana,5.3054977,-1.9930436,4.5,557721535/036221098/0274383444/0244381320,+233557721535,,Https://Maps.Google.Com/?Cid=4368791192123011572,Hospital,,
27,Ami Memorial Hospital,Tamso Estate Road Near T N A Park Tarkwa Ghana,"P.O Box,101-Bibiani",Tarkwa - Esiama Rd,WT-0006-8606,Tamso Estate Road Near T N A Park Tarkwa,Tarkwa Nsuaem,Western Region Ghana,Ghana,5.3010319,-1.9948122,,244463761,+233244463761,,Https://Maps.Google.Com/?Cid=11515744322712590452,Hospital,,
28,Doctors In Service Clinic,"Kwamina Walker Ave, Cape Coast","P.O. Box AD 860 , Cape Coast",Jukwa Road,CC-095-0034,GRA Area,Cape Coast,Central Region Ghana,Ghana,5.1311669,-1.275605,4,268115303,+233268115303,http://doctorsinservice.com/,Https://Maps.Google.Com/?Cid=8394907361425385022,Hospital,https://lh4.googleusercontent.com/proxy/_SgV0WeRfxHwr8vGEW_DTMEiG892nXhlsaCIuvVSGLEBbNdQiTg7PMtYB3gEgpFnx5ut0msNtLIl_-sbDm7jO4WHIB7I_n4x2tHoosi49i3tpKRWPLjgvKt8CwCQiBDiVtkLwxZoxSgRnwupT95tfAWpOgCt_a4=w227-h159-k-no,
29,Green Shield Hospital,Sefwi Bekwai - Sefwi Asawinso Rd,"P.O.Box 193, Sefwi-Wiawso",Sefwi Bekwai - Sefwi Asawinso Rd,WG-0010-5980,Down the Road from Glisterin Park,Sefwi Wiaso,Western Region Ghana,Ghana,6.2124957,-2.4766737,4,244077470/0244977397,,,Https://Maps.Google.Com/?Cid=18128372587779563512,Hospital,,
30,VRA Hospital Aboadze,Aboadze Ghana,,"Aboadze Rd, Sekondi-Takoradi, Ghana",WR-141-5455,Ameri Power Plant Area,Shama,Western Region Ghana,Ghana,4.974429,-1.6549551,4,03191134/03191339,,http://www.vra.com/our_mandate/health_services.php,Https://Maps.Google.Com/?Cid=7722917263001144457,Hospital,,
31,Benedict Hospital,Ntwaaban Ghana,,Essipong Sports Stadium Road,WR-357-3900,"Inchaban Hills,off Takoradi-Cape Coast Road,Opposite School of the Deaf, Alongside",Shama,Western Region Ghana,Ghana,4.9854641,-1.6825695,4,244544866/0249101528,+233244544866,http://www.benedicthospital.org/,Https://Maps.Google.Com/?Cid=1944919407313993341,Hospital,,
32,Sanford World Clinic Cape Coast,No G683/C 63-A Sarbah Road ,,"Sarbah Road, Cape Coast",CC-009-6832,Tantri Lorry Station Cape Coast Ghana,Cape Coast,Central Region Ghana,Ghana,5.113055,-1.241107,3,501289232,+233278612700,http://sanfordworldclinic.org/locations-ghana/,Https://Maps.Google.Com/?Cid=3984280561400770965,Hospital,http://sanfordworldclinic.org/wp-content/uploads/2017/01/1Cape-Coast-Clinic.jpg,
33,Divine Love Hospital,Goaso-Bibiani Rd,P.O. Box KS322 Kumasi,Goaso-Bibiani Rd,WB-0000-1587,Bibiani Post Office Area,Bibiani/Anhwiaso/Bekwai,Western Region Ghana,Ghana,6.4553589,-2.3169528,4.5,244655047/0274810416,+233244655047,,Https://Maps.Google.Com/?Cid=1105234070267593487,Hospital,https://lh5.googleusercontent.com/p/AF1QipPk-A61ngH64VPsy3TT1wDkgk7F4lLQY3n4EqxW=w284-h160-k-no,
34,Ankaful Psychiatric Hospital,Ankaful Psychiatric Hospital Ghana,"P.O. Box 412, Cape Coast",,CK-0552-6233,Nursing Training Area,Komenda Edina Eguafo,Central Region Ghana,Ghana,5.154824,-1.323408,5,208297872/0243256909,+233332095804,https://ankafulpsychiatrichospital.org/,Https://Maps.Google.Com/?Cid=9323839830635091880,Hospital,https://lh5.googleusercontent.com/p/AF1QipNfikTuYFXirxs-csbZdIYHqe2fobGlQMLGuayx=w213-h160-k-no,
35,Aba Hospital Tarkwa,Off Bogoso-Tarkwa Road,,Off Bogoso-Tarkwa Road,WT-0058-7460,Near Gold Fields Ghana Hospital,Tarkwa Nsuaem,Western Region Ghana,Ghana,5.321438,-1.9909079,4,316221536,,,Https://Maps.Google.Com/?Cid=15880697748835665583,Hospital,,
36,Sycamore Hospital,"Paul Essah Rd, Takoradi",,"Paul Essah Rd, Takoradi",WS-542-8963,Adientem on Paul Essah Road,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9297395,-1.7881054,4.2,24684243/0209209893,,http://sycamoremedcentre.com/,Https://Maps.Google.Com/?Cid=15293396216985035340,Hospital,http://sycamoremedcentre.com/wp-content/uploads/2015/07/21380_515527151852917_1502489807_n.jpg',
37,S D A Hospital,"8 Liberation Rd, Takoradi","P.O.Box MC 73, Takoradi","8 Liberation Rd, Takoradi",WS-290-6049,Amaja Oilfield Area,Sekondi-Takoradi,Western Region Ghana,Ghana,4.9020487,-1.7669696,4.5,244950916,,,Https://Maps.Google.Com/?Cid=8063274490319992882,Hospital,,
38,Essam Health Center,Buaku - Yamatwa Rd,,Buaku - Yamatwa Rd,WD-0035-6985,Essam Near SSB Bank,Bia West,Western Region Ghana,Ghana,6.670945,-3.1050328,,244465715/0244424592,,,Https://Maps.Google.Com/?Cid=1580599550711539651,Hospital,,
39,Eyifua Aged Clinic,Cape Coast Ghana,,,CC-093-3942,Nabbak Hostel Area,Cape Coast,Western Region Ghana,Ghana,5.140539,-1.2738132,,,,,Https://Maps.Google.Com/?Cid=7175885412022782740,Hospital,,
41,MWB Wellness Clinic Kumasi Ghana,"17 Mampong Rd, Kumasi","P.O. Box ANT 2771, Ash-Town Kumasi",Mampong Road,AD-023-4527,Near Fawoade Methodist Church,Kwabre East,Ashanti Region,Ghana,6.7806893,-1.5789763,4,322071554,,,Https://Maps.Google.Com/?Cid=15771513844831406389,Hospital,,
42,New Crystal Hospital,Asafo Adjaye St,,Asafo Adjaye St,WS-336-3823,"Bankyease, Westline, Takoradi SHS Area",Sekondi-Takoradi,Western Region Ghana,Ghana,4.9189113,-1.7724466,,312002331,+233312002331,http://www.newcrystalhealth.org/,Https://Maps.Google.Com/?Cid=4146971253593402348,Hospital,,
43,Asankragua Catholic Hospital,Asankragua - Bogoso Rd ,,Asankragua - Bogoso Rd,WY-0022-5539,Asankragua,Wassa Amenfi West,Western Region Ghana,Ghana,5.8018119,-2.4319426,5,312422026,,,Https://Maps.Google.Com/?Cid=11664291352015195857,Hospital,https://lh5.googleusercontent.com/p/AF1QipPDItDFbVbIStK6Zt6PZ9oJfOI7ZcsgWzxwb_Sq=w239-h160-k-no,Confused whether it's the same as FATHER THOMAS ALAN ROONEY MEMORIAL HOSPITAL
44,Bibiani Government Hospital,Goaso-Bibiani Road,"P.O.Box 108, Bibiani",Goaso-Bibiani Road,WB-0005-8912,Opp. New Lorry Park,Bibiani/Anhwiaso/Bekwai,Western Region Ghana,Ghana,6.4564716,-2.3226344,1,3193120/03193121/0208196223/0249799998,,,Https://Maps.Google.Com/?Cid=963954754347906385,Hospital,,
45,Medical Clinic Source De Vie,Aboisso Côte D'Ivoire,,,,Aboisso,,Western Region Ghana,Ghana,5.4715727,-3.2046098,3,,,,Https://Maps.Google.Com/?Cid=640109471744754117,Hospital,,
46,Essam Government Hospital,"Buaku - Yamatwa Rd, Debiso",,"Buaku - Yamatwa Rd, Debiso",WD-0000-0787,Essam Near SSB Bank,,Western Region Ghana,Ghana,6.6668451,-3.1085927,,244465715/0244424592,,,Https://Maps.Google.Com/?Cid=11401396250174689286,Hospital,,
47,Methodist Specialist Hospital,R82 Twifo Ghana,,,CT-0733-3252,Topp Club House Area,Twifo Ati-Morkwa,Central Region Ghana,Ghana,5.555087,-1.5436323,,242163902,+233242163902,,Https://Maps.Google.Com/?Cid=2859557989152797931,Hospital,,
48,Health Center,40 Bogoso - Tarkwa Rd Bogoso Ghana,,Bogoso - Tarkwa Road Bogoso,WP-0016-0490,"Opporunity Savings and Loans Area, Bogoso",Prestea Huni Valley,Western Region Ghana,Ghana,5.5693357,-2.0196367,2.5,,,,Https://Maps.Google.Com/?Cid=4074457374325247059,Hospital,,
49,Redeemer Hospital,H/No. MD 2B Brofoyedur,,,WT-0044-9552,Tarkwa Deeper Life/ Melcom Area,Tarkwa Nsuaem,Western Region Ghana,Ghana,5.2895964,-1.9854958,,312320732/0208201749/0246923924,,,Https://Maps.Google.Com/?Cid=2665424756426191876,Hospital,,
50,Nana Hima Dekyi Hospital,Dixcove/ Infuma,,,WH-1035-4414,Dixcove/ Infuma,Ahanta West,Western Region Ghana,Ghana,4.8058479,-1.9563362,,24469679,+23324469679,,Https://Maps.Google.Com/?Cid=8688568004147366807,Hospital,,
51,Bawdie Government Health Centre,Asankragua - Bogoso Rd Bogoso Ghana,,Asankragua - Bogoso Road Bogoso,WX-3231-7002,Bawdie,Wassa Amenfi East,Western Region Ghana,Ghana,5.633789,-2.0943855,4,206962404,+233206962404,Http://Www.Ghs.Org/,Https://Maps.Google.Com/?Cid=5590232200291077440,Hospital,,
52,Rabito Clinic,Ahondwo-Daban Kumasi behind the Unity Oil Filling Station.,,,AK-489-7207,Ahondwo-Daban Kumasi behind the Unity Oil Filling Station.,Kumasi,Ashanti Region,Ghana,6.6494587,-1.6227066,5,322024413/ 0543115555,+233543115555,https://www.rabitoclinic.com/kumasi-branch,Https://Maps.Google.Com/?Cid=8618928917333724011,Hospital,,
53,Bomso Clinic,"Evandy Dr, Kumasi, Ghana",,"Evandy Dr, Kumasi, Ghana",AK-250-3686,"Evandy Area, Tech, Kumasi",,Ashanti Region,Ghana,6.6844354,-1.5793782,3.5,02444410073/05126834/05126833,,,Https://Maps.Google.Com/?Cid=15261494662376216200,Hospital,,
54,Imperial Eye Care Centre - Takoradi,"Ogives Cl, Sekondi Takoradi, Near J.B Danquah Rd.",,"Ogives Cl, Sekondi Takoradi, Near J.B Danquah Rd.",WS-193-9542,"West Near Skyy Power FM, Teachers' Hostel Area",Sekondi-Takoradi,Western Region Ghana,Ghana,4.937787,-1.75642,5,208107505,+233208107505,Http://Www.Imperialeye.Com/,Https://Maps.Google.Com/?Cid=16485104786752737674,Hospital,,
55,Ruma Fertility Hospital,YB 254 Asuoyeboah ,,Dechiemso Road,AK-418-5400,"Opposite Giveway Hotel, Kumasi, Ghana",Kumasi,Ashanti Region,Ghana,6.6850775,-1.6639235,5,206355476/0269987479,+233208160544,http://rumaivf.com/contacts/,Https://Maps.Google.Com/?Cid=14704279732012216696,Hospital,,
56,Nahge Clinic,,,,AG-0897-9678,Ahenema Kokoben,Atwima Kwanwoma,Ashanti Region,Ghana,6.61218,-1.644077,,244636602,+233244636602,,Https://Maps.Google.Com/?Cid=13902124189446680308,Hospital,,
57,Baiden-Ghartey Memorial Hospital,No.7 Nana Agyekum St Pedu Cape Coast,,Kwamina Walker Ave,CC-096-0801,No.7 Nana Agyekum St Pedu Cape Coast,,Central Region Ghana,Ghana,5.1251739,-1.2752355,3.8,202650506/0208163440,+233202650506,,Https://Maps.Google.Com/?Cid=17085084712044853953,Hospital,,
58,Marie Stopes Ghana Santasi Centre,"Santasi Roundabout, Dr. Osei Tuffour Bypass Kumasi",,Dr. Osei Tuffour Bypass,AK-178-1992,Santasi Roundabout Dr. Osei Tuffour Bypass,Kumasi,Ashanti Region,Ghana,6.6712278,-1.6385614,5,322039682/0800208585,+233322039682,https://www.mariestopes.org.gh/find-us/centre-details/?centreId=3530,Https://Maps.Google.Com/?Cid=15488057302134623289,Hospital,,
59,Cape Coast Teaching Hospital,Interberton Road Cape Coast Ghana,,Interberton Road Cape Coast Ghana,CC-071-1281,Interberton Road,Cape Coast,Central Region Ghana,Ghana,5.1332909,-1.2660593,4.2,213401014,+233332134011,http://www.ccthghana.org/,Https://Maps.Google.Com/?Cid=4692847615891440345,Hospital,http://www.ccthghana.org/wp-content/uploads/2015/02/afb4.jpg,
60,Kabsad Scientific Hospital,Liberation Road off Salaga Rd Tamale Ghana,P. O. Box Tl 2703 Tamale ,Liberation Road Tamale,NT-0062-8002,Russian Bungalows Rd (Neem Avenue),Tamale,Northern Region Ghana,Ghana,9.3987771,-0.8273327,3.5,247208622/0244583020,+233208167824,Http://Kabsadhospital.Com/,Https://Maps.Google.Com/?Cid=9813818004723085520,Hospital,,
61,Tamale Teaching Hospital,Salaga Rd Tamale Ghana,,Salaga Road Tamale,NT-0101-6673,Tamale,Tamale,Northern Region Ghana,Ghana,9.3930083,-0.8234811,4,372022454/0243206708,+233372022454,,Https://Maps.Google.Com/?Cid=14438779781326815805,Hospital,,
62,Baptist Medical Centre,BMC Road Nalerigu Via N/R Gambaga Ghana,,BMC Road Nalerigu Via N/R Gambaga,NE-1068-5842,East Mamprusi,Nalerigu Police Station Area,Northern Region Ghana,Ghana,10.5201289,-0.3656709,4.5,249664434/0242809784,+233382093753,Https://Baptistmedicalcenter.Org/,Https://Maps.Google.Com/?Cid=11930730808371371342,Hospital,,
63,University For Development Studies Hospital,"Path to Central Administration Block, UDS Tamale Campus",,,NT-0272-9270,"Path to Central Administration Block, UDS Tamale Campus",Tamale,Northern Region Ghana,Ghana,9.3748863,-0.8851719,5,372022078,+233372022078,Http://Www.Uds.Edu.Gh/,Https://Maps.Google.Com/?Cid=8314366351273850545,Hospital,,
64,Catholic Hospital,"Salaga Rd, Tamale, Ghana",,"Salaga Rd, Tamale, Ghana",NT-0024-0655,Close to Our Lady of Annunciation Cathedral  Salaga Road,Tamale,Northern Region Ghana,Ghana,9.4011414,-0.8351433,4,,,,Https://Maps.Google.Com/?Cid=8599804385014513918,Hospital,,
65,Binde Medical Centre,Nakpanduri-Bunkpurugu Rd Bende Ghana,,Nakpanduri-Bunkpurugu Rd Bende,NP-2040-5347,Yunyoo,Bunkpurugu-Yunyoo,Northern Region Ghana,Ghana,10.5653931,-0.0290252,,244845107,,,Https://Maps.Google.Com/?Cid=7994042622486971957,Hospital,,
66,Rabito Clinic Tamale,"9 Dagomba Rd, Tamale",,,NT-0002-8584,Along Rivoli Road Near Melcom,Tamale,Northern Region Ghana,Ghana,9.4069379,-0.8405748,,543115557,+233543115557,https://www.rabitoclinic.com/tamale-branch,Https://Maps.Google.Com/?Cid=2120104886897687357,Hospital,,
67,Jisonayili Islamic Primary School Library And Clinic,"Jisonayili Rd, Tamale",,"Jisonayili Rd, Tamale",NS-124-3429,Tamale,Sagnerigu,Northern Region Ghana,Ghana,9.449383,-0.8518625,,,,,Https://Maps.Google.Com/?Cid=16445375902008834537,Hospital,,
68,University Clinic,"To Spanish Lab, Nyankpala Campus UDS",,"To Spanish Lab, Nyankpala Campus UDS",NL-1142-9356,"To Spanish Lab, Nyankpala Campus UDS",Tolon,Northern Region Ghana,Ghana,9.414691,-0.9839255,,242287557,,,Https://Maps.Google.Com/?Cid=11800079681857448484,Hospital,,
69,Tobali Fame Clinic Tobali,"N 19, Close to Togo Border",,"N 19, Close to Togo Border",NF-0177-6853,"N 19, Close to Togo Border",Tatale Sangule,Northern Region Ghana,Ghana,9.3786098,0.5555257,,,,,Https://Maps.Google.Com/?Cid=3069404515017236094,Hospital,,
70,Yendi Municipal Hospital Eye Clinic,Yendi - Saboba Rd Chagbani Ghana,,Yendi - Saboba Road Chagbani,NX-3460-3124,Close to Togo Border,,Northern Region Ghana,Ghana,9.5390288,0.2260144,,244720533/024209094,,,Https://Maps.Google.Com/?Cid=6415774399491568367,Hospital,,
71,North Legon Hospital,31 Kofi Annan Ave,"P. O. BOX CT 1902, Cantonments, Accra",Kofi Annan Avenue Off Haatso Road,GM-048-4089,Kofi Annan Avenue Off Haatso Road,La Nkwantanang-Madina,Greater Accra Region,Ghana,5.6691855,-0.1823524,3.9,3025066660249111788/0292116060/0302506666,+233302506666,,Https://Maps.Google.Com/?Cid=4396832824016390546,Hospital,,
72,Kumdi Fame Clinic Kumdi,Ekumdipe Ghana,,,N4-09133-713,Ekumdipe,East Gonja,Northern Region Ghana,Ghana,8.5055538,-0.2842605,,,,,Https://Maps.Google.Com/?Cid=9687299866990749911,Hospital,,
73,Tamale Central Hospital,Louisville Rd,,,NT-0001-5660,"Off Dagomba Road, Police Headquarters Area",Tamale,Northern Region Ghana,Ghana,9.4058905,-0.8373796,3.7,"242567230/0208166686, 07126542",+233242567230,,Https://Maps.Google.Com/?Cid=8787396056800112710,Hospital,,
74,Tamale West Hospital,West Hospital Road Off Nyohini Road,,,NT-0018-7643,Ahamadiya Primary School Area,,Northern Region Ghana,Ghana,9.4006397,-0.8499412,5,208096358/0244521376,,,Https://Maps.Google.Com/?Cid=4280633485632007342,Hospital,,
75,Shekinah Clinic Wamali,Tamale - Yendi Rd,P.O. Box TL 886,,NT-0504-3418,"N9, Tizaa Rural Bank Area",Tamale,Northern Region Ghana,Ghana,9.3815128,-0.7889879,,244788775/0206574415,,https://shekhinahclinic.wordpress.com/,Https://Maps.Google.Com/?Cid=13487538050420094102,Hospital,https://lh5.googleusercontent.com/p/AF1QipMEyxJn3AZarZpAuhOPpg5ifUTon8OZWFZtYxa7=w217-h160-k-no,
76,Our Lady Of Rocio Clinic,"Bolgatanga - Tamale Rd, Walewale",,"Bolgatanga - Tamale Rd, Walewale",ND-00012-4987,"N10, Close to Catholic  Mission House",West Mamprusi,Northern Region Ghana,Ghana,10.3600689,-0.7972896,5,,,,Https://Maps.Google.Com/?Cid=6492139433047548536,Hospital,,
77,Alive Legacy Mediherb Clinic,T-Poly Road Tamale Ghana,,T-Poly Road Tamale Ghana,NS-031-4208,T-Poly Road Tamale Ghana,Sagnerigu,Northern Region Ghana,Ghana,9.4349866,-0.8739503,5,242012332,+233242012332,,Https://Maps.Google.Com/?Cid=12349516367860422164,Hospital,,
78,Poly Clinic,Wa-Bole Rd,,Wa-Bole Rd,NW-00001-6607,N12 Catholic Church Area,Sawla Tuna Kalba,Northern Region Ghana,Ghana,9.2732405,-2.4134607,,243654581/0278117232,,,Https://Maps.Google.Com/?Cid=15600071741084221998,Hospital,,
79,Italo-Ghanaian Urology Clinic,Tamale - Yendi Rd,,Tamale - Yendi Rd,NT-1625-0869,Zibogo,,Northern Region Ghana,Ghana,9.3703448,-0.7362526,5,,,,Https://Maps.Google.Com/?Cid=5382937407549414457,Hospital,https://lh5.googleusercontent.com/p/AF1QipPl8Ivyefbtxwp946S5yL_B3J1POi68F0dMvJ8i=w427-h160-k-no,
80,Nadowli Hospital,Wa - Lawra Rd Banko Ghana,,Wa - Lawra Road Banko,XO-3001-3673,Along the Wa-Jirapa Trunk Road,Nadowli Kaleo,Upper West Region Ghana,Ghana,10.2154387,-2.5495612,,243115612/0208375083/0243115612,,,Https://Maps.Google.Com/?Cid=11703188990040369367,Hospital,,
